BIKE | USER | STATE | TIME OF RENT | PRICE


23 | 1 | -842150451 | 0.066667 | 1.000000
109 | 1 | 0 | 0.166667 | 3.000000
111 | 1 | 0 | 0.083333 | 5.000000
23 | 1 | 0 | 0.083333 | 5.000000
111 | 1 | 0 | 0.333333 | 5.000000
109 | 1 | 0 | 0.050000 | 3.000000
129 | 1 | 0 | 0.050000 | 3.000000
23 | 1 | 0 | 0.083333 | 5.000000
111 | 1 | 0 | 0.166667 | 5.000000
23 | 1 | -842150451 | 0.350000 | 1.000000
109 | 1 | 0 | 0.250000 | 5.000000
123 | 1 | 0 | 0.333333 | 5.000000
111 | 1 | 0 | 0.183333 | 3.000000
278 | 1 | 0 | 0.183333 | 3.000000
356 | 1 | 0 | 0.183333 | 3.000000
23 | 2 | 0 | 0.566667 | 3.000000
While renting a bike by the user 2 of the bike with id 23 got broken.
